date,max_temp,min_temp
2026-01-27,33.1,26.0
2026-01-28,32.3,26.0
2026-01-29,34.0,27.3
2026-01-30,31.3,27.5
2026-01-31,32.3,27.3
2026-02-01,31.9,27.1
2026-02-02,31.1,27.3
2026-02-03,32.2,26.5
